Measurement,Temperature,Humidity,SoilMoisture
1,23,18,24
2,23,18,24
3,23,17,24
4,23,18,24
5,23,18,24
6,23,18,24
7,23,18,24
8,23,18,24
9,23,18,24
10,23,18,24
11,23,18,24
12,23,18,24
13,23,18,24
14,23,18,24
15,23,18,24
16,23,18,24
17,23,18,24
18,23,18,24
19,23,18,24
20,23,17,24
21,23,18,24
22,23,17,24
23,23,18,24
24,23,17,24
25,23,18,24
26,23,18,24
27,23,17,23
28,23,18,24
29,23,17,24
30,23,17,24
31,23,18,24
32,23,18,24
33,23,18,24
34,23,18,24
35,23,18,24
36,23,18,24
37,23,17,24
38,23,18,24
39,23,18,24
40,23,18,24
41,23,17,27
42,23,17,45
43,23,18,45
44,23,18,45
45,23,18,45
46,23,18,45
47,23,18,44
48,23,18,44
49,23,18,44
50,23,18,44
51,23,18,44
52,23,18,44
53,23,18,44
54,23,17,44
55,23,18,44
56,23,18,44
57,23,18,44
58,23,18,43
59,23,18,44
60,23,18,44
61,23,18,44
62,23,18,44
63,23,18,43
64,23,18,44
65,23,18,44
66,23,17,44
67,23,18,44
68,23,18,44
69,23,18,44
70,23,18,44
71,23,17,44
72,23,18,44
73,23,18,43
74,23,17,43
75,23,18,43
76,23,18,43
77,23,18,43
78,23,18,43
79,23,18,43
80,23,18,42
81,23,18,42
82,23,19,42
83,23,20,42
84,23,21,43
85,24,22,42
86,24,23,42
87,24,24,42
88,24,25,42
89,24,27,42
90,24,28,42
91,25,28,42
92,25,29,42
93,25,30,42
94,25,30,42
95,25,31,42
96,25,32,42
97,26,32,42
98,26,33,42
99,26,34,42
100,26,35,42
101,27,35,42
102,27,36,42
103,27,36,42
104,27,35,42
105,27,35,42
106,27,34,42
107,27,34,42
108,27,33,42
109,27,33,42
110,27,32,42
111,27,32,42
112,27,31,42
113,27,31,43
114,27,30,42
115,27,30,42
116,27,29,42
117,27,29,42
118,27,28,42
119,27,27,42
120,27,27,41
121,27,26,42
122,27,26,42
123,27,25,42
124,27,24,42
125,27,24,42
126,27,23,42
127,27,23,42
128,27,22,43
129,27,22,41
130,27,21,42
131,27,21,42
132,27,21,42
133,27,21,42
134,27,20,42
135,27,20,42
136,27,20,42
137,27,20,42
138,27,20,42
139,27,19,42
140,27,19,42
141,27,19,42
142,27,19,42
143,27,19,42
144,27,19,42
145,27,19,42
146,27,19,42
147,27,19,42
148,27,18,42
149,27,18,42
150,27,18,42
151,27,18,42
152,27,18,42
153,27,18,42
154,26,19,42
155,26,19,42
156,26,19,42
157,26,19,42
158,26,19,42
159,26,19,42
160,26,19,42
161,26,19,42
162,26,19,42
163,26,18,42
164,26,18,42
165,26,18,42
166,26,18,42
167,26,19,42
168,26,19,42
169,26,19,42
170,26,19,42
171,26,19,42
172,26,18,42
173,26,18,42
174,26,18,41
175,26,18,42
176,26,18,42
177,26,18,42
178,26,18,42
179,26,18,42
180,26,18,42
181,26,18,42
182,26,18,41
183,26,18,42
184,26,18,42
185,26,18,42
186,26,18,42
187,26,18,42
188,26,18,42
189,26,18,42
190,26,18,42
191,26,18,42
192,26,18,42
193,26,18,42
194,26,18,42
195,26,18,42
196,26,18,42
197,26,18,42
198,26,18,42
199,26,17,42
200,26,18,42
201,26,18,42
202,26,18,43
203,26,18,42
204,26,17,42
205,25,18,42
206,25,17,42
207,25,17,42
208,25,17,42
209,25,17,42
210,25,17,42
211,25,17,42
212,25,17,42
213,25,17,42
214,25,17,42
215,25,17,42
216,25,17,42
217,25,17,42
218,25,17,42
219,25,17,42
220,25,17,42
221,25,17,41
222,25,17,41
223,25,17,41
224,25,17,41
225,25,17,40
226,25,17,40
227,25,17,40
228,25,17,39
229,25,17,39
230,25,17,39
231,25,17,39
232,25,17,39
233,25,17,39
234,25,17,38
235,25,17,39
236,25,17,39
237,25,17,39
238,25,17,39
239,25,17,47
240,25,17,46
241,25,17,47
242,25,17,47
243,25,17,47
244,25,17,46
245,25,17,47
246,25,17,48
247,25,17,48
248,25,17,49
249,25,17,48
250,25,17,48
251,25,17,48
252,25,17,48
253,25,17,49
254,25,17,48
255,25,17,48
256,25,17,48
257,25,17,48
258,25,17,48
259,25,17,48
260,25,17,48
261,25,17,48
262,25,17,48
263,25,17,48
264,25,17,48
265,25,17,48
266,25,17,48
267,25,17,48
268,25,17,48
269,25,17,49
270,25,17,49
271,25,17,49
272,25,17,49
273,25,17,48
274,25,17,49
275,25,17,50
276,25,17,4
277,24,18,47
278,24,18,48
279,24,18,46
280,24,18,47
281,24,31,49
282,24,18,49
283,24,18,48
284,24,18,49
285,24,18,49
286,24,18,49
287,24,18,46
288,24,18,49
289,24,18,49
290,24,18,49
291,24,18,49
292,24,18,50
293,24,18,50
294,24,18,50
295,24,18,50
296,24,18,51
297,24,18,51
298,24,18,51
299,24,18,51
300,24,18,51
301,24,18,51
302,24,18,51
303,24,18,51
304,24,18,51
305,24,18,51
306,24,18,51
307,24,18,51
308,24,18,51
309,24,18,51
310,24,18,64
311,24,18,64
312,24,18,64
313,24,18,64
314,24,18,65
315,24,18,66
316,24,18,67
317,24,18,67
318,24,18,67
319,24,18,67
320,24,18,53
321,24,18,52
322,24,18,53
323,24,18,60
324,24,18,56
325,24,18,59
326,24,18,61
327,24,18,63
328,24,18,63
329,24,18,63
330,24,18,63
331,24,18,64
332,24,18,64
333,24,18,56
334,24,18,52
335,24,18,52
336,24,18,52
337,24,18,51
338,24,18,51
339,24,18,51
340,24,18,51
341,24,18,49
342,24,18,49
343,24,18,48
344,24,18,47
345,24,18,48
346,24,18,48
347,24,18,48
348,24,18,47
349,24,18,46
350,24,18,45
351,24,18,45
352,24,18,43
353,24,18,42
354,24,18,52
355,24,18,59
356,24,18,52
357,24,18,52
358,24,18,83
359,23,18,88
360,23,18,50
361,23,18,49
362,23,18,51
363,23,18,51
